idx,class,conversation
1000,일상 대화,"오랜만
지금 어디야??
점심 뭐 먹을까?
그럼 몇 시가 좋아?
오케이
그럼 이따 연락할게
좋은 저녁
뭐 해?? ㅎㅎ
내일 잠깐 볼 수 있어?
정확히 뭐가 필요한 거야?"
1001,일상 대화,"안녕하세요
오늘까지 가능해??
그거 말한 거 맞지?
오케이
덕분에 살았다
좋은 하루 보내!
좋은 저녁
그 건 일정 어떻게 돼?
그럼 몇 시가 좋아? ㅎㅎ
확인했어
고마워!
내일 보자
좋은 저녁
그 건 일정 어떻게 돼??!
혹시 다시 한 번 보내줄래?"
1002,일상 대화,"좋은 저녁 ㅎㅎ
시험 범위 정리했어??
장소는 어디로 할까? ㅎㅎ
알겠어
진짜 고마워"
1003,일상 대화,"좋은 저녁
비 온대
뭐 해?
주말에 뭐 할 거야?
넵
나중에 봐 ㅎㅎ
오랜만
날씨 진짜 좋다
지금 어디야?!
내일 잠깐 볼 수 있어??"
1004,일상 대화,"안녕하세요!
과제 어디까지 했어?
혹시 다시 한 번 보내줄래? ㅎㅎ
응응
진짜 고마워
나중에 봐
하이 ㅎㅎ
교수님 공지 봤어??
그럼 몇 시가 좋아?
확인했어"
1005,일상 대화,"안녕
시험 범위 정리했어?
장소는 어디로 할까?
응응
진짜 고마워!
나중에 봐
오랜만
과제 어디까지 했어?
장소는 어디로 할까?
넵"
1006,일상 대화,"오랜만 ㅎㅎ
회의 자료 다 됐어?
정확히 뭐가 필요한 거야?
확인했어
땡큐
나중에 봐
좋은 저녁
이번 주 마감 괜찮겠어?
그럼 몇 시가 좋아?
알겠어
고마워!"
1007,일상 대화,"오랜만
바빠?
주말에 뭐 할 거야?
혹시 다시 한 번 보내줄래?
오케이
좋은 하루 보내
하이
뭐 해??
점심 뭐 먹을까??
혹시 다시 한 번 보내줄래?"
1008,일상 대화,"오랜만
회의 자료 다 됐어?
장소는 어디로 할까?
알겠어
감사합니다
나중에 봐
안녕하세요
파일 공유해줄 수 있어?
혹시 다시 한 번 보내줄래??
넵
진짜 고마워"
1009,일상 대화,"오랜만
배송은 빨라??
정확히 뭐가 필요한 거야?
넵 ㅎㅎ
땡큐
내일 보자
안녕하세요
그거 어디서 샀어?!
그럼 몇 시가 좋아?
오케이"
1010,일상 대화,"안녕
이번 주 마감 괜찮겠어?
정확히 뭐가 필요한 거야??
넵
감사합니다!
조심히 들어가
좋은 저녁
이번 주 마감 괜찮겠어??
그럼 몇 시가 좋아??
넵"
1011,일상 대화,"하이
과제 어디까지 했어?
혹시 다시 한 번 보내줄래?
오케이
땡큐
나중에 봐
하이
교수님 공지 봤어?
장소는 어디로 할까?
넵"
1012,일상 대화,"안녕
오늘 춥다
오늘 일정 어때?
내일 잠깐 볼 수 있어??
알겠어
그럼 이따 연락할게
좋은 아침
오늘 춥다!
시간 괜찮아??
커피 한 잔 할래?
응응"
1013,일상 대화,"좋은 저녁 ㅎㅎ
바빠??
주말에 뭐 할 거야?? ㅎㅎ
그거 말한 거 맞지?
좋아
내일 보자
좋은 아침
뭐 해? ㅎㅎ
오늘 저녁 시간 돼?!
그럼 몇 시가 좋아?"
1014,일상 대화,"안녕!
이번 주 마감 괜찮겠어?
장소는 어디로 할까?
넵
고마워!
좋은 하루 보내
좋은 저녁
이번 주 마감 괜찮겠어??
정확히 뭐가 필요한 거야?
응응"
1015,일상 대화,"안녕
오늘 일정 어때?
주말에 뭐 할 거야??
그거 말한 거 맞지? ㅎㅎ
넵
조심히 들어가
좋은 아침
바빠?
주말에 뭐 할 거야?
장소는 어디로 할까??"
1016,일상 대화,"좋은 저녁
사이즈 어때?
그럼 몇 시가 좋아??
확인했어
고마워!
내일 보자
오랜만
그거 어디서 샀어?
정확히 뭐가 필요한 거야?
오케이"
1017,일상 대화,"오랜만
스터디 언제 할래??
장소는 어디로 할까??
응응
덕분에 살았다
그럼 이따 연락할게
안녕하세요
시험 범위 정리했어??
장소는 어디로 할까?
좋아"
1018,일상 대화,"좋은 저녁
배송은 빨라?
혹시 다시 한 번 보내줄래?
응응
덕분에 살았다
조심히 들어가 ㅎㅎ
오랜만
가격 괜찮아?
그럼 몇 시가 좋아??
알겠어"
1019,일상 대화,"좋은 저녁
비 온대
바빠?
주말에 뭐 할 거야?
넵
내일 보자
안녕!
날씨 진짜 좋다
뭐 해?
오늘 저녁 시간 돼?"
1020,일상 대화,"오랜만 ㅎㅎ
비 온대
지금 어디야?
오늘 저녁 시간 돼??
좋아 ㅎㅎ
그럼 이따 연락할게
오랜만
비 온대
지금 어디야?
오늘 저녁 시간 돼?"
1021,일상 대화,"좋은 저녁
오늘까지 가능해??
정확히 뭐가 필요한 거야??
확인했어
진짜 고마워
그럼 이따 연락할게
하이
회의 자료 다 됐어?
장소는 어디로 할까??
오케이"
1022,일상 대화,"안녕
바빠?
주말에 뭐 할 거야?
혹시 다시 한 번 보내줄래?
좋아
그럼 이따 연락할게
좋은 아침
오늘 일정 어때??
점심 뭐 먹을까?
그거 말한 거 맞지?"
1023,일상 대화,"좋은 아침
오늘 춥다
뭐 해??
오늘 저녁 시간 돼?
오케이
조심히 들어가 ㅎㅎ
하이 ㅎㅎ
오늘 춥다
오늘 일정 어때?
점심 뭐 먹을까?
좋아"
1024,일상 대화,"좋은 저녁
교수님 공지 봤어? ㅎㅎ
그럼 몇 시가 좋아?
알겠어
감사합니다
조심히 들어가
하이
교수님 공지 봤어??
그거 말한 거 맞지?
확인했어"
1025,일상 대화,"오랜만
날씨 진짜 좋다
시간 괜찮아??
오늘 저녁 시간 돼?
알겠어
그럼 이따 연락할게
안녕하세요
비 온대
오늘 일정 어때??
내일 잠깐 볼 수 있어?"
1026,일상 대화,"안녕
스터디 언제 할래? ㅎㅎ
장소는 어디로 할까?
좋아
진짜 고마워!
조심히 들어가
좋은 저녁 ㅎㅎ
수업 자료 봤어??!
장소는 어디로 할까??
오케이
감사합니다
좋은 하루 보내"
1027,일상 대화,"안녕하세요
수업 자료 봤어?
장소는 어디로 할까?
응응
고마워!
좋은 하루 보내
좋은 아침 ㅎㅎ"
1028,일상 대화,"안녕
배송은 빨라?
그거 말한 거 맞지?
넵
감사합니다
그럼 이따 연락할게
오랜만
그거 어디서 샀어??
장소는 어디로 할까??
오케이"
1029,일상 대화,"하이 ㅎㅎ
오늘 춥다
시간 괜찮아?
주말에 뭐 할 거야?
넵
나중에 봐
안녕
오늘 춥다
뭐 해??
커피 한 잔 할래??"
1030,일상 대화,"하이
뭐 해??
점심 뭐 먹을까??
그거 말한 거 맞지??
알겠어
그럼 이따 연락할게
오랜만
바빠?!
커피 한 잔 할래?
혹시 다시 한 번 보내줄래?"
1031,일상 대화,"안녕하세요
과제 어디까지 했어??!
그럼 몇 시가 좋아??
오케이
진짜 고마워
좋은 하루 보내
안녕하세요
시험 범위 정리했어?
장소는 어디로 할까??
오케이
진짜 고마워"
1032,일상 대화,"안녕하세요
사이즈 어때?
그럼 몇 시가 좋아??
오케이
고마워!
좋은 하루 보내
하이
가격 괜찮아?
장소는 어디로 할까?
좋아"
1033,일상 대화,"좋은 아침 ㅎㅎ
추천해줄 만해??
정확히 뭐가 필요한 거야?
확인했어
감사합니다
내일 보자
좋은 저녁
그거 어디서 샀어?
장소는 어디로 할까??
오케이"
1034,일상 대화,"오랜만
추천해줄 만해??
혹시 다시 한 번 보내줄래??
알겠어
고마워!
그럼 이따 연락할게
하이
사이즈 어때?
정확히 뭐가 필요한 거야?
알겠어"
1035,일상 대화,"안녕
가격 괜찮아?
장소는 어디로 할까?
좋아
덕분에 살았다
좋은 하루 보내
하이 ㅎㅎ
추천해줄 만해?
그럼 몇 시가 좋아?
확인했어
덕분에 살았다
좋은 하루 보내
안녕하세요
가격 괜찮아?
정확히 뭐가 필요한 거야?"
1036,일상 대화,"안녕
스터디 언제 할래?
장소는 어디로 할까?
오케이
고마워!!
내일 보자
좋은 아침
과제 어디까지 했어??
정확히 뭐가 필요한 거야?
응응!
땡큐"
1037,일상 대화,"안녕하세요
비 온대
뭐 해?
오늘 저녁 시간 돼?
알겠어
그럼 이따 연락할게
하이
비 온대
시간 괜찮아?
주말에 뭐 할 거야?"
1038,일상 대화,"좋은 저녁
오늘까지 가능해?
장소는 어디로 할까?
넵
땡큐
좋은 하루 보내
좋은 저녁 ㅎㅎ
회의 자료 다 됐어?
정확히 뭐가 필요한 거야??
확인했어 ㅎㅎ!"
1039,일상 대화,"좋은 저녁 ㅎㅎ
오늘 춥다
오늘 일정 어때??
커피 한 잔 할래?
응응
나중에 봐!
좋은 아침
비 온대
바빠?
커피 한 잔 할래?"
1040,일상 대화,"좋은 저녁
오늘 춥다
뭐 해?!
오늘 저녁 시간 돼?!
좋아
그럼 이따 연락할게
하이
비 온대 ㅎㅎ
지금 어디야??
주말에 뭐 할 거야?"
1041,일상 대화,"안녕하세요
가격 괜찮아?
혹시 다시 한 번 보내줄래??
응응
덕분에 살았다
내일 보자 ㅎㅎ
안녕하세요
추천해줄 만해?
정확히 뭐가 필요한 거야?
알겠어
땡큐"
1042,일상 대화,"안녕
오늘 춥다
바빠? ㅎㅎ
주말에 뭐 할 거야?
알겠어
나중에 봐
안녕!
오늘 춥다
바빠?!
내일 잠깐 볼 수 있어?"
1043,일상 대화,"안녕하세요
바빠?
커피 한 잔 할래??
장소는 어디로 할까?
오케이
나중에 봐
오랜만
오늘 일정 어때?
오늘 저녁 시간 돼?
그거 말한 거 맞지?"
1044,일상 대화,"좋은 저녁
그거 어디서 샀어?
그럼 몇 시가 좋아?
확인했어
감사합니다
조심히 들어가
하이!
가격 괜찮아??
그거 말한 거 맞지??
확인했어"
1045,일상 대화,"안녕하세요
오늘 춥다
시간 괜찮아? ㅎㅎ
오늘 저녁 시간 돼?
확인했어
나중에 봐
좋은 아침
날씨 진짜 좋다
오늘 일정 어때??
주말에 뭐 할 거야?"
1046,일상 대화,"안녕하세요!
사이즈 어때?
장소는 어디로 할까?
확인했어
진짜 고마워
좋은 하루 보내
하이
사이즈 어때? ㅎㅎ
혹시 다시 한 번 보내줄래?
응응"
1047,일상 대화,"좋은 아침
사이즈 어때?
그거 말한 거 맞지?
알겠어
감사합니다
좋은 하루 보내
좋은 아침
추천해줄 만해?
그거 말한 거 맞지?
알겠어"
1048,일상 대화,"안녕하세요
지금 어디야?
주말에 뭐 할 거야??
그럼 몇 시가 좋아?
넵
그럼 이따 연락할게
좋은 아침
뭐 해??
점심 뭐 먹을까?
그거 말한 거 맞지?"
1049,일상 대화,"하이
교수님 공지 봤어?
그럼 몇 시가 좋아?
알겠어
덕분에 살았다
내일 보자
안녕하세요
시험 범위 정리했어?
정확히 뭐가 필요한 거야?
알겠어"
1050,일상 대화,"오랜만
가격 괜찮아?
그럼 몇 시가 좋아?
좋아
고마워!
그럼 이따 연락할게
하이
사이즈 어때?
그럼 몇 시가 좋아?? ㅎㅎ
응응"
1051,일상 대화,"안녕하세요
그거 어디서 샀어?!
혹시 다시 한 번 보내줄래? ㅎㅎ
응응
고마워!
그럼 이따 연락할게
좋은 저녁
가격 괜찮아??
정확히 뭐가 필요한 거야?
오케이
땡큐"
1052,일상 대화,"안녕하세요
그거 어디서 샀어? ㅎㅎ
혹시 다시 한 번 보내줄래??
알겠어
고마워!
그럼 이따 연락할게
좋은 아침!
사이즈 어때? ㅎㅎ
그럼 몇 시가 좋아?
넵"
1053,일상 대화,"안녕
파일 공유해줄 수 있어?
그럼 몇 시가 좋아??
확인했어
진짜 고마워!
내일 보자
좋은 아침 ㅎㅎ
그 건 일정 어떻게 돼??
혹시 다시 한 번 보내줄래??
넵 ㅎㅎ
감사합니다"
1054,일상 대화,"안녕
스터디 언제 할래?
그거 말한 거 맞지??
오케이
감사합니다
내일 보자
안녕하세요
수업 자료 봤어?!
장소는 어디로 할까?
넵
진짜 고마워"
1055,일상 대화,"안녕하세요!
바빠?
주말에 뭐 할 거야?
그럼 몇 시가 좋아?
오케이
나중에 봐
오랜만
뭐 해?
커피 한 잔 할래??
혹시 다시 한 번 보내줄래??"
1056,일상 대화,"좋은 저녁 ㅎㅎ
오늘 일정 어때? ㅎㅎ
오늘 저녁 시간 돼?
혹시 다시 한 번 보내줄래?
응응
조심히 들어가
안녕
바빠?
주말에 뭐 할 거야??
그거 말한 거 맞지??"
1057,일상 대화,"좋은 저녁
오늘 춥다
시간 괜찮아? ㅎㅎ
커피 한 잔 할래?!
응응
좋은 하루 보내
좋은 저녁
날씨 진짜 좋다
지금 어디야?
주말에 뭐 할 거야?"
1058,일상 대화,"안녕
비 온대
시간 괜찮아??!
내일 잠깐 볼 수 있어?
알겠어
좋은 하루 보내 ㅎㅎ
오랜만
비 온대
오늘 일정 어때? ㅎㅎ
내일 잠깐 볼 수 있어?
응응"
1059,일상 대화,"안녕하세요
배송은 빨라??
그럼 몇 시가 좋아?
넵
땡큐
좋은 하루 보내
하이
사이즈 어때?
장소는 어디로 할까?
확인했어"
1060,일상 대화,"좋은 저녁 ㅎㅎ
비 온대
시간 괜찮아?!
커피 한 잔 할래?
넵
그럼 이따 연락할게
좋은 아침
비 온대
지금 어디야? ㅎㅎ!
내일 잠깐 볼 수 있어?"
1061,일상 대화,"하이
사이즈 어때?
그거 말한 거 맞지?
넵
땡큐
나중에 봐
안녕하세요
추천해줄 만해??!
그거 말한 거 맞지??
넵"
1062,일상 대화,"하이
이번 주 마감 괜찮겠어??
그거 말한 거 맞지?
오케이
진짜 고마워
그럼 이따 연락할게
안녕 ㅎㅎ
회의 자료 다 됐어?!
장소는 어디로 할까?!
응응"
1063,일상 대화,"좋은 아침
추천해줄 만해?
혹시 다시 한 번 보내줄래?
알겠어
진짜 고마워
나중에 봐
안녕
추천해줄 만해?
혹시 다시 한 번 보내줄래?
넵"
1064,일상 대화,"좋은 저녁
오늘 춥다
뭐 해?
내일 잠깐 볼 수 있어?
넵 ㅎㅎ
좋은 하루 보내
안녕하세요!
오늘 춥다"
1065,일상 대화,"오랜만 ㅎㅎ
오늘 일정 어때?!
점심 뭐 먹을까??
정확히 뭐가 필요한 거야?
오케이
좋은 하루 보내
좋은 저녁
지금 어디야?
오늘 저녁 시간 돼??
그거 말한 거 맞지?"
1066,일상 대화,"좋은 저녁
비 온대
지금 어디야?
오늘 저녁 시간 돼?
알겠어
조심히 들어가
하이
날씨 진짜 좋다
시간 괜찮아??
주말에 뭐 할 거야?"
1067,일상 대화,"좋은 저녁
수업 자료 봤어? ㅎㅎ
그거 말한 거 맞지?
알겠어
고마워!
좋은 하루 보내
오랜만!
수업 자료 봤어?
그럼 몇 시가 좋아?
알겠어"
1068,일상 대화,"좋은 저녁
비 온대
뭐 해??!
오늘 저녁 시간 돼?
응응
나중에 봐
오랜만
오늘 춥다 ㅎㅎ!
오늘 일정 어때?!
커피 한 잔 할래?
넵"
1069,일상 대화,"안녕
교수님 공지 봤어?
그거 말한 거 맞지?
넵
땡큐
그럼 이따 연락할게
좋은 저녁
스터디 언제 할래?
정확히 뭐가 필요한 거야?
알겠어"
1070,일상 대화,"오랜만
오늘 춥다
오늘 일정 어때?
점심 뭐 먹을까?
오케이
그럼 이따 연락할게
안녕
비 온대
지금 어디야??
주말에 뭐 할 거야??
오케이"
1071,일상 대화,"안녕하세요
시간 괜찮아?
내일 잠깐 볼 수 있어?
정확히 뭐가 필요한 거야?
확인했어
그럼 이따 연락할게
좋은 아침
시간 괜찮아??
점심 뭐 먹을까?
그럼 몇 시가 좋아?"
1072,일상 대화,"좋은 아침!
지금 어디야??
점심 뭐 먹을까?
그럼 몇 시가 좋아?
좋아
좋은 하루 보내
안녕
지금 어디야?
내일 잠깐 볼 수 있어? ㅎㅎ
그럼 몇 시가 좋아??"
1073,일상 대화,"하이
사이즈 어때?
혹시 다시 한 번 보내줄래?
알겠어 ㅎㅎ
덕분에 살았다
조심히 들어가
오랜만
배송은 빨라??!
장소는 어디로 할까??
좋아"
1074,일상 대화,"좋은 저녁
배송은 빨라?
그거 말한 거 맞지?
넵
덕분에 살았다
좋은 하루 보내
오랜만
사이즈 어때?"
1075,일상 대화,"안녕하세요
수업 자료 봤어? ㅎㅎ
혹시 다시 한 번 보내줄래?
응응
감사합니다
나중에 봐
오랜만
스터디 언제 할래??
그거 말한 거 맞지??
오케이"
1076,일상 대화,"안녕하세요
교수님 공지 봤어?
그거 말한 거 맞지??
응응
진짜 고마워
좋은 하루 보내
안녕하세요
수업 자료 봤어?
그거 말한 거 맞지??
좋아
땡큐"
1077,일상 대화,"안녕하세요
지금 어디야? ㅎㅎ
주말에 뭐 할 거야??
그거 말한 거 맞지??!
확인했어
조심히 들어가
오랜만
오늘 일정 어때?!
커피 한 잔 할래??"
1078,일상 대화,"하이
비 온대
바빠?
주말에 뭐 할 거야?
확인했어
그럼 이따 연락할게
좋은 아침
비 온대!
뭐 해?
내일 잠깐 볼 수 있어?
확인했어"
1079,일상 대화,"안녕하세요
수업 자료 봤어??
정확히 뭐가 필요한 거야?
좋아
고마워!
나중에 봐
안녕
교수님 공지 봤어?
정확히 뭐가 필요한 거야??
확인했어"
1080,일상 대화,"오랜만
날씨 진짜 좋다
시간 괜찮아?
내일 잠깐 볼 수 있어?!
응응
내일 보자
오랜만
오늘 춥다
오늘 일정 어때?
주말에 뭐 할 거야?"
1081,일상 대화,"좋은 저녁
그거 어디서 샀어?
정확히 뭐가 필요한 거야??
알겠어
덕분에 살았다
나중에 봐
안녕
배송은 빨라??
그럼 몇 시가 좋아??
응응
감사합니다"
1082,일상 대화,"오랜만
추천해줄 만해?
정확히 뭐가 필요한 거야?
알겠어 ㅎㅎ
고마워! ㅎㅎ!
조심히 들어가
좋은 저녁!"
1083,일상 대화,"오랜만
오늘까지 가능해?
그럼 몇 시가 좋아?
확인했어
고마워!!
조심히 들어가
좋은 저녁
그 건 일정 어떻게 돼?
혹시 다시 한 번 보내줄래?
응응"
1084,일상 대화,"좋은 아침
회의 자료 다 됐어?
그거 말한 거 맞지?
확인했어
감사합니다
내일 보자
좋은 저녁
파일 공유해줄 수 있어??
장소는 어디로 할까?
응응"
1085,일상 대화,"안녕
바빠?
주말에 뭐 할 거야??
그거 말한 거 맞지??
확인했어
좋은 하루 보내
하이
시간 괜찮아?
커피 한 잔 할래?
정확히 뭐가 필요한 거야??"
1086,일상 대화,"오랜만
그 건 일정 어떻게 돼?
혹시 다시 한 번 보내줄래?
넵
덕분에 살았다
좋은 하루 보내
안녕
회의 자료 다 됐어?
장소는 어디로 할까?
응응"
1087,일상 대화,"안녕하세요
시간 괜찮아?
주말에 뭐 할 거야?
정확히 뭐가 필요한 거야??
응응
나중에 봐!
오랜만 ㅎㅎ
오늘 일정 어때?
점심 뭐 먹을까??
그럼 몇 시가 좋아? ㅎㅎ"
1088,일상 대화,"오랜만 ㅎㅎ
그거 어디서 샀어?
그럼 몇 시가 좋아??
알겠어
땡큐
내일 보자
안녕하세요
사이즈 어때?
그거 말한 거 맞지?
좋아
진짜 고마워!"
1089,일상 대화,"안녕하세요
바빠?
오늘 저녁 시간 돼?
정확히 뭐가 필요한 거야??
알겠어
내일 보자
좋은 아침
바빠?? ㅎㅎ
내일 잠깐 볼 수 있어?
정확히 뭐가 필요한 거야??"
1090,일상 대화,"좋은 아침
오늘 일정 어때??
점심 뭐 먹을까?
혹시 다시 한 번 보내줄래?
좋아
나중에 봐
안녕
지금 어디야??
내일 잠깐 볼 수 있어?
장소는 어디로 할까?"
1091,일상 대화,"좋은 아침
사이즈 어때?
혹시 다시 한 번 보내줄래?
좋아
땡큐
그럼 이따 연락할게
좋은 아침
그거 어디서 샀어?
그럼 몇 시가 좋아? ㅎㅎ
좋아
덕분에 살았다"
1092,일상 대화,"좋은 아침!
교수님 공지 봤어?? ㅎㅎ
그거 말한 거 맞지?
응응
땡큐
좋은 하루 보내
좋은 아침
스터디 언제 할래?
장소는 어디로 할까?
응응"
1093,일상 대화,"안녕하세요
그 건 일정 어떻게 돼??
장소는 어디로 할까?
오케이
감사합니다
내일 보자
오랜만
이번 주 마감 괜찮겠어??!
정확히 뭐가 필요한 거야??
확인했어
고마워!"
1094,일상 대화,"하이
배송은 빨라??
혹시 다시 한 번 보내줄래?
좋아
땡큐
좋은 하루 보내
좋은 아침
추천해줄 만해?
혹시 다시 한 번 보내줄래?
넵"
1095,일상 대화,"좋은 저녁
스터디 언제 할래??
정확히 뭐가 필요한 거야??
응응
감사합니다
좋은 하루 보내
안녕
과제 어디까지 했어?
정확히 뭐가 필요한 거야?
넵"
1096,일상 대화,"좋은 아침 ㅎㅎ
회의 자료 다 됐어? ㅎㅎ
그럼 몇 시가 좋아?
좋아 ㅎㅎ
고마워!
내일 보자
좋은 저녁
그 건 일정 어떻게 돼??
그럼 몇 시가 좋아?
알겠어"
1097,일상 대화,"좋은 아침
교수님 공지 봤어? ㅎㅎ
장소는 어디로 할까?
응응
진짜 고마워
좋은 하루 보내
안녕하세요
수업 자료 봤어?
그거 말한 거 맞지?
넵"
1098,일상 대화,"하이 ㅎㅎ
추천해줄 만해?
혹시 다시 한 번 보내줄래?
확인했어
덕분에 살았다
내일 보자
좋은 아침
그거 어디서 샀어? ㅎㅎ
장소는 어디로 할까?
좋아"
1099,일상 대화,"오랜만!
교수님 공지 봤어? ㅎㅎ
정확히 뭐가 필요한 거야??
넵
땡큐
조심히 들어가
좋은 아침
스터디 언제 할래?"
1100,일상 대화,"안녕
수업 자료 봤어?
정확히 뭐가 필요한 거야?
넵
덕분에 살았다 ㅎㅎ
그럼 이따 연락할게
안녕
수업 자료 봤어??
정확히 뭐가 필요한 거야?
알겠어"
1101,일상 대화,"안녕하세요
교수님 공지 봤어?
그거 말한 거 맞지??
응응
땡큐
나중에 봐
하이
교수님 공지 봤어??
그거 말한 거 맞지?
넵"
1102,일상 대화,"안녕
가격 괜찮아?
장소는 어디로 할까?
오케이
땡큐
조심히 들어가
안녕하세요
추천해줄 만해?
그럼 몇 시가 좋아?
넵"
1103,일상 대화,"좋은 아침
배송은 빨라? ㅎㅎ!
혹시 다시 한 번 보내줄래? ㅎㅎ
좋아 ㅎㅎ
덕분에 살았다
좋은 하루 보내 ㅎㅎ
하이
그거 어디서 샀어?
정확히 뭐가 필요한 거야??!
좋아"
1104,일상 대화,"안녕 ㅎㅎ
오늘 일정 어때? ㅎㅎ
내일 잠깐 볼 수 있어??!
그거 말한 거 맞지? ㅎㅎ
좋아
내일 보자
좋은 저녁
시간 괜찮아?
주말에 뭐 할 거야??
장소는 어디로 할까?
넵"
1105,일상 대화,"좋은 아침
뭐 해?
커피 한 잔 할래??
그거 말한 거 맞지?
알겠어!
그럼 이따 연락할게
안녕하세요
시간 괜찮아??
내일 잠깐 볼 수 있어?"
1106,일상 대화,"좋은 저녁
가격 괜찮아??
정확히 뭐가 필요한 거야??
알겠어 ㅎㅎ
진짜 고마워
좋은 하루 보내
좋은 아침
사이즈 어때?
그럼 몇 시가 좋아?
오케이"
1107,일상 대화,"하이
사이즈 어때??
그럼 몇 시가 좋아??
응응
진짜 고마워
나중에 봐
오랜만 ㅎㅎ!
추천해줄 만해?
정확히 뭐가 필요한 거야?
좋아
땡큐 ㅎㅎ
좋은 하루 보내
오랜만
배송은 빨라??!"
1108,일상 대화,"오랜만
스터디 언제 할래??
그거 말한 거 맞지?
응응
덕분에 살았다
나중에 봐
안녕하세요
교수님 공지 봤어??
정확히 뭐가 필요한 거야??
알겠어
덕분에 살았다
내일 보자
안녕"
1109,일상 대화,"오랜만
오늘 일정 어때??
커피 한 잔 할래?
혹시 다시 한 번 보내줄래?
응응
내일 보자
좋은 저녁
뭐 해?
오늘 저녁 시간 돼?
혹시 다시 한 번 보내줄래?"
1110,일상 대화,"오랜만
오늘 춥다
바빠??
점심 뭐 먹을까?
응응
내일 보자
하이
비 온대"
1111,일상 대화,"하이
가격 괜찮아?
그거 말한 거 맞지?
응응
덕분에 살았다
나중에 봐
안녕하세요
배송은 빨라?
정확히 뭐가 필요한 거야?
오케이
땡큐"
1112,일상 대화,"안녕하세요!
오늘 춥다
지금 어디야?
오늘 저녁 시간 돼?? ㅎㅎ
확인했어
그럼 이따 연락할게
좋은 저녁
비 온대 ㅎㅎ
오늘 일정 어때? ㅎㅎ
커피 한 잔 할래?"
1113,일상 대화,"좋은 아침
오늘까지 가능해?
그럼 몇 시가 좋아?
알겠어
고마워!
그럼 이따 연락할게
안녕 ㅎㅎ
파일 공유해줄 수 있어??
정확히 뭐가 필요한 거야?!
알겠어
감사합니다
좋은 하루 보내
안녕하세요
회의 자료 다 됐어?
정확히 뭐가 필요한 거야?"
1114,일상 대화,"오랜만 ㅎㅎ
회의 자료 다 됐어??
정확히 뭐가 필요한 거야?
확인했어 ㅎㅎ
진짜 고마워
나중에 봐
오랜만
오늘까지 가능해?!
그거 말한 거 맞지??
넵
감사합니다!"
1115,일상 대화,"하이!
파일 공유해줄 수 있어??
그럼 몇 시가 좋아?? ㅎㅎ
알겠어 ㅎㅎ!
땡큐
좋은 하루 보내 ㅎㅎ
좋은 저녁
오늘까지 가능해?
그거 말한 거 맞지?"
1116,일상 대화,"안녕하세요
뭐 해?
커피 한 잔 할래??
장소는 어디로 할까?!
좋아
내일 보자
오랜만
오늘 일정 어때??
오늘 저녁 시간 돼?
그럼 몇 시가 좋아?"
1117,일상 대화,"좋은 저녁
그 건 일정 어떻게 돼?
장소는 어디로 할까?
확인했어!
덕분에 살았다
조심히 들어가 ㅎㅎ
하이
오늘까지 가능해?
장소는 어디로 할까??
좋아"
1118,일상 대화,"오랜만
오늘 일정 어때?
점심 뭐 먹을까??!
그거 말한 거 맞지?
좋아
좋은 하루 보내
하이 ㅎㅎ
뭐 해?
주말에 뭐 할 거야?
정확히 뭐가 필요한 거야?? ㅎㅎ"
1119,일상 대화,"안녕하세요
회의 자료 다 됐어?
혹시 다시 한 번 보내줄래?
좋아
진짜 고마워
나중에 봐!
오랜만
그 건 일정 어떻게 돼?
장소는 어디로 할까?
응응"
1120,일상 대화,"안녕하세요!
지금 어디야?
주말에 뭐 할 거야?
혹시 다시 한 번 보내줄래? ㅎㅎ
알겠어
좋은 하루 보내
좋은 저녁!
바빠??
주말에 뭐 할 거야?
정확히 뭐가 필요한 거야?"
1121,일상 대화,"안녕
추천해줄 만해?
그거 말한 거 맞지?
넵
고마워!
그럼 이따 연락할게 ㅎㅎ
오랜만
추천해줄 만해?
정확히 뭐가 필요한 거야? ㅎㅎ
알겠어
땡큐
조심히 들어가
안녕
가격 괜찮아?"
1122,일상 대화,"오랜만
오늘 춥다
뭐 해?
주말에 뭐 할 거야??
오케이
좋은 하루 보내
안녕
오늘 춥다!
지금 어디야?
주말에 뭐 할 거야?? ㅎㅎ"
1123,일상 대화,"오랜만
과제 어디까지 했어?
장소는 어디로 할까? ㅎㅎ
좋아
감사합니다
그럼 이따 연락할게
하이
스터디 언제 할래?
그거 말한 거 맞지??
확인했어"
1124,일상 대화,"안녕하세요
스터디 언제 할래?!
그거 말한 거 맞지?
오케이
감사합니다
좋은 하루 보내
하이
수업 자료 봤어?
혹시 다시 한 번 보내줄래?
좋아"
1125,일상 대화,"좋은 저녁
뭐 해?
주말에 뭐 할 거야?
그럼 몇 시가 좋아?
오케이
나중에 봐
하이!
시간 괜찮아?
오늘 저녁 시간 돼??
혹시 다시 한 번 보내줄래?"
1126,일상 대화,"안녕하세요
오늘까지 가능해?
그럼 몇 시가 좋아??
알겠어
감사합니다 ㅎㅎ
좋은 하루 보내
오랜만
그 건 일정 어떻게 돼?
그거 말한 거 맞지?
응응!"
1127,일상 대화,"오랜만!
날씨 진짜 좋다 ㅎㅎ
시간 괜찮아?? ㅎㅎ
커피 한 잔 할래?
알겠어
내일 보자
좋은 저녁
날씨 진짜 좋다 ㅎㅎ
바빠??
내일 잠깐 볼 수 있어??"
